repo,sha,path,contract,netParams,legacyNetParams,controls,fileLicense,sha256,url,verification
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/combo_diode.js","params/body","[""from"",""to""]","[]","{""side"":""\""B\"""",""reversible"":""false""}","null","1092b8b02d04cc1a9f3a5275fadb011d862a03f4c277db3148a1e37524937b4f","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/combo_diode.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/mounting_hole.js","params/body","[]","[]","{}","null","2d4908c44ea3cd162ce53f95915c6c3b44de88d1434442f17ec3a0edd62d44ef","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/mounting_hole.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/mx.js","params/body","[""from"",""to""]","[]","{""hotswap"":""false"",""reverse"":""false""}","null","4cefddd2aa58bf6eb02b0bb734411dcb1aa8b7757bc75588228153d126bc0f0d","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/mx.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/pads.js","params/body","[""net_1"",""net_2"",""net_3"",""net_4"",""net_5"",""net_6""]","[]","{""side"":""\""F\"""",""reverse"":""true""}","null","53249b068fd760d3a04edd93702de4dae37e5ef73f6bee225e1c0d2d9190cb37","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/pads.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/text.js","params/body","[]","[]","{""side"":""\""F\"""",""reverse"":""false""}","null","c4762d8eb6f1cf2b29ba4f1d902c7fc9c8575e63f16085594ecb4ad48ae102bb","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/text.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/xiao_ble.js","params/body","[""P0"",""P1"",""P2"",""P3"",""P4"",""P5"",""P6"",""P7"",""P8"",""P9"",""P10"",""RAW3V3"",""GND"",""RAW5V"",""BATP"",""BATN"",""RST"",""CLK"",""DIO"",""NFC0"",""NFC1""]","[]","{""side"":""\""F\""""}","null","a00d653ed5691f727e6b32a089b41f93488e759b5c37c4062f7b8d40da6f1ca4","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/xiao_ble.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/xiao_ble_smd_reversible.js","params/body","[""D0"",""D1"",""D2"",""D3"",""D4"",""D5"",""D6"",""D7"",""D8"",""D9"",""D10"",""_3V3"",""GND"",""_5V"",""RST"",""BATP""]","[]","{}","null","72cfa814b727a46a1ed196746ded27d43d769e0a42062fc075a6843d1ca7b1ad","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/xiao_ble_smd_reversible.js","source inventory only; not runtime-qualified"
"Pipshag/goosekb","ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9","footprints/custom/xiao_reverse.js","params/body","[]","[]","{}","null","6134becdde4dbd2b6f55a7d724e753e5ea8e7e15c13e360abce4fba97752545d","https://github.com/Pipshag/goosekb/blob/ed0fef52e41dc3ddbab6c6e5f7f4706600499ad9/footprints/custom/xiao_reverse.js","source inventory only; not runtime-qualified"
"ceoloide/ergogen-footprints","48935f54b456ff1503d78d6b17d9d146b54e8ade","battery_connector_jst_ph_2.js","params/body","[""BAT_P"",""BAT_N""]","[]","{""side"":""'F'"",""reversible"":""false"",""include_traces"":""true""}","MIT","fafe9a53df11fd99a820c9571e1bcbf5a8aedda98774e700642af5af5f00d853","https://github.com/ceoloide/ergogen-footprints/blob/48935f54b456ff1503d78d6b17d9d146b54e8ade/battery_connector_jst_ph_2.js","source inventory only; not runtime-qualified"
"ceoloide/ergogen-footprints","48935f54b456ff1503d78d6b17d9d146b54e8ade","battery_connector_molex_pico_ezmate_1x02.js","params/body","[""BAT_P"",""BAT_N""]","[]","{""side"":""'F'"",""reversible"":""false""}","CC-BY-NC-SA-4.0","301a01a1d9041c417eabe09d1cad7fafb2f390501bba175d904960a1bba11ed6","https://github.com/ceoloide/ergogen-footprints/blob/48935f54b456ff1503d78d6b17d9d146b54e8ade/battery_connector_molex_pico_ezmate_1x02.js","source inventory only; not runtime-qualified"
"ceoloide/ergogen-footprints","48935f54b456ff1503d78d6b17d9d146b54e8ade","diode_tht_sod123.js","params/body","[""from"",""to""]","[]","{""side"":""'B'"",""reversible"":""false"",""include_traces_vias"":""false""}","CC-BY-NC-SA-4.0","f57b20d50876d2235682f820d818d5c599bec4f4b7adf559f20631e1018dfa46","https://github.com/ceoloide/ergogen-footprints/blob/48935f54b456ff1503d78d6b17d9d146b54e8ade/diode_tht_sod123.js","source inventory only; not runtime-qualified"
"ceoloide/ergogen-footprints","48935f54b456ff1503d78d6b17d9d146b54e8ade","display_nice_view.js","params/body","[""MOSI"",""SCK"",""VCC"",""GND"",""CS""]","[]","{""side"":""'F'"",""reversible"":""false"",""include_traces"":""true""}","CC-BY-NC-SA-4.0","bdb2080a9697fc9ddbc8ec41bd8e2b81bfbcea31f4e220cf39a0094a342a66c7","https://github.com/ceoloide/ergogen-footprints/blob/48935f54b456ff1503d78d6b17d9d146b54e8ade/display_nice_view.js","source inventory only; not runtime-qualified"
"ceoloide/ergogen-footprints","48935f54b456ff1503d78d6b17d9d146b54e8ade","display_ssd1306.js","params/body","[""SDA"",""SCL"",""VCC"",""GND""]","[]","{""side"":""'F'"",""reversible"":""false"",""include_traces"":""true""}","CC-BY-NC-SA-4.0","484fa0c1e8cc421e9f7100d1ff765f7646a59b9fe181415edcbf7be7c6db5065","https://github.com/ceoloide/ergogen-footprints/blob/48935f54b456ff1503d78d6b17d9d146b54e8ade/display_ssd1306.js","source inventory only; not runtime-qualified"
